ｅＭＡＸＩＳ Ｓｌｉｍ 全世界株式（オール・カントリー）,,,,
基準日,基準価額(円),基準価額（分配金再投資）(円),分配金（税引前）(円),純資産総額（億円）
2018/10/31,10000,10000,,0.1
2018/11/1,10077,10077,,0.1
2018/11/2,10209,10209,,0.11
2018/11/5,10228,10228,,0.35
2018/11/6,10259,10259,,0.86
2018/11/7,10293,10293,,1.14
2018/11/8,10494,10494,,1.25
2018/11/9,10493,10493,,1.35
2018/11/12,10388,10388,,1.55
2018/11/13,10187,10187,,1.65
2018/11/14,10232,10232,,1.65
2018/11/15,10156,10156,,2.12
2018/11/16,10217,10217,,2.21
2018/11/19,10176,10176,,2.28
2018/11/20,10059,10059,,2.34
2018/11/21,9907,9907,,2.45
2018/11/22,9987,9987,,2.55
2018/11/26,9925,9925,,2.68
2018/11/27,10087,10087,,2.72
2018/11/28,10122,10122,,3.08
2018/11/29,10277,10277,,3.22
2018/11/30,10271,10271,,3.67
2018/12/3,10325,10325,,3.79
2018/12/4,10426,10426,,3.95
2018/12/5,10143,10143,,4.14
2018/12/6,10096,10096,,4.39
2018/12/7,9995,9995,,4.34
2018/12/10,9842,9842,,4.5
2018/12/11,9824,9824,,4.73
2018/12/12,9897,9897,,5.05
2018/12/13,9983,9983,,5.24
2018/12/14,9992,9992,,5.34
2018/12/17,9835,9835,,5.38
2018/12/18,9633,9633,,5.37
2018/12/19,9588,9588,,5.55
2018/12/20,9501,9501,,5.84
2018/12/21,9283,9283,,5.97
2018/12/25,8878,8878,,5.85
2018/12/26,8929,8929,,5.98
2018/12/27,9230,9230,,6.18
2018/12/28,9254,9254,,6.19
2019/1/4,8926,8926,,6.59
2019/1/7,9261,9261,,7.18
2019/1/8,9346,9346,,7.88
2019/1/9,9414,9414,,8.29
2019/1/10,9448,9448,,8.57
2019/1/11,9504,9504,,8.7
2019/1/15,9456,9456,,9.02
2019/1/16,9531,9531,,9.29
2019/1/17,9600,9600,,9.74
2019/1/18,9685,9685,,10.28
2019/1/21,9820,9820,,10.55
2019/1/22,9816,9816,,10.49
2019/1/23,9694,9694,,10.36
2019/1/24,9718,9718,,11.22
2019/1/25,9756,9756,,11.37
2019/1/28,9814,9814,,11.51
2019/1/29,9735,9735,,11.61
2019/1/30,9759,9759,,11.84
2019/1/31,9848,9848,,12.06
2019/2/1,9905,9905,,12.2
2019/2/4,9973,9973,,12.5
2019/2/5,10047,10047,,13.08
2019/2/6,10098,10098,,13.64
2019/2/7,10070,10070,,13.6
2019/2/8,9958,9958,,13.45
2019/2/12,10029,10029,,13.54
2019/2/13,10140,10140,,14.72
2019/2/14,10192,10192,,15.21
2019/2/15,10128,10128,,15.23
2019/2/18,10232,10232,,15.93
2019/2/19,10243,10243,,16.21
2019/2/20,10286,10286,,16.28
2019/2/21,10321,10321,,16.7
2019/2/22,10301,10301,,16.85
2019/2/25,10368,10368,,17.13
2019/2/26,10413,10413,,17.9
2019/2/27,10380,10380,,18.33
2019/2/28,10387,10387,,18.52
2019/3/1,10418,10418,,18.74
2019/3/4,10513,10513,,19.15
2019/3/5,10477,10477,,19.97
2019/3/6,10452,10452,,20.4
2019/3/7,10402,10402,,20.52
2019/3/8,10292,10292,,20.49
2019/3/11,10200,10200,,20.48
