ｅＭＡＸＩＳ Ｓｌｉｍ 国内株式（ＴＯＰＩＸ）,,,,
基準日,基準価額(円),基準価額（分配金再投資）(円),分配金（税引前）(円),純資産総額（億円）
2017/2/27,9896,9896,,0.01
2017/2/28,9905,9905,,0.04
2017/3/1,10020,10020,,0.08
2017/3/2,10094,10094,,0.11
2017/3/3,10052,10052,,0.18
2017/3/6,10031,10031,,0.2
2017/3/7,10032,10032,,0.26
2017/3/8,10001,10001,,0.28
2017/3/9,10029,10029,,0.33
2017/3/10,10154,10154,,0.35
2017/3/13,10176,10176,,0.37
2017/3/14,10160,10160,,0.45
2017/3/15,10136,10136,,0.5
2017/3/16,10145,10145,,0.58
2017/3/17,10101,10101,,0.59
2017/3/21,10085,10085,,0.61
2017/3/22,9871,9871,,0.62
2017/3/23,9872,9872,,0.67
2017/3/24,9960,9960,,0.73
2017/3/27,9833,9833,,0.78
2017/3/28,9965,9965,,0.88
2017/3/29,10036,10036,,0.88
2017/3/30,9942,9942,,0.89
2017/3/31,9844,9844,,0.9
2017/4/3,9875,9875,,0.94
2017/4/4,9792,9792,,1.03
2017/4/5,9793,9793,,1.03
2017/4/6,9634,9634,,1.04
2017/4/7,9697,9697,,1.19
2017/4/10,9760,9760,,1.21
2017/4/11,9730,9730,,1.28
2017/4/12,9629,9629,,1.28
2017/4/13,9556,9556,,1.4
2017/4/14,9496,9496,,1.5
2017/4/17,9539,9539,,1.52
2017/4/18,9577,9577,,1.56
2017/4/19,9576,9576,,1.59
2017/4/20,9586,9586,,1.7
2017/4/21,9688,9688,,1.73
2017/4/24,9784,9784,,1.81
2017/4/25,9888,9888,,1.83
2017/4/26,10006,10006,,1.88
2017/4/27,10002,10002,,1.88
2017/4/28,9970,9970,,1.85
2017/5/1,10023,10023,,1.86
2017/5/2,10092,10092,,2.02
2017/5/8,10323,10323,,2.07
2017/5/9,10297,10297,,1.76
2017/5/10,10320,10320,,1.7
2017/5/11,10332,10332,,1.8
2017/5/12,10293,10293,,1.8
2017/5/15,10290,10290,,1.81
2017/5/16,10317,10317,,1.82
2017/5/17,10262,10262,,1.86
2017/5/18,10126,10126,,1.84
2017/5/19,10157,10157,,1.9
2017/5/22,10209,10209,,1.92
2017/5/23,10194,10194,,1.98
2017/5/24,10258,10258,,1.99
2017/5/25,10279,10279,,1.98
2017/5/26,10221,10221,,2.09
2017/5/29,10226,10226,,2.17
2017/5/30,10242,10242,,2.21
2017/5/31,10214,10214,,2.22
2017/6/1,10329,10329,,2.26
2017/6/2,10499,10499,,2.4
2017/6/5,10484,10484,,2.42
2017/6/6,10396,10396,,2.36
2017/6/7,10400,10400,,2.38
2017/6/8,10357,10357,,2.47
2017/6/9,10365,10365,,2.5
2017/6/12,10364,10364,,2.52
2017/6/13,10377,10377,,2.62
2017/6/14,10366,10366,,2.63
2017/6/15,10341,10341,,2.64
2017/6/16,10393,10393,,2.66
2017/6/19,10458,10458,,2.69
2017/6/20,10531,10531,,2.73
2017/6/21,10494,10494,,2.79
2017/6/22,10486,10486,,2.76
2017/6/23,10492,10492,,2.82
2017/6/26,10498,10498,,2.85
2017/6/27,10542,10542,,2.88
2017/6/28,10524,10524,,2.89
2017/6/29,10587,10587,,2.91
2017/6/30,10507,10507,,2.92
2017/7/3,10524,10524,,2.99
2017/7/4,10492,10492,,3.09
2017/7/5,10551,10551,,3.12
2017/7/6,10531,10531,,3.15
2017/7/7,10475,10475,,3.15
2017/7/10,10530,10530,,3.22
2017/7/11,10606,10606,,3.35
2017/7/12,10555,10555,,3.33
2017/7/13,10553,10553,,3.35
2017/7/14,10595,10595,,3.37
2017/7/18,10563,10563,,3.34
2017/7/19,10571,10571,,3.4
2017/7/20,10644,10644,,3.49
2017/7/21,10624,10624,,3.51
2017/7/24,10569,10569,,3.53
2017/7/25,10540,10540,,3.58
2017/7/26,10565,10565,,3.66
2017/7/27,10604,10604,,3.7
2017/7/28,10568,10568,,3.71
2017/7/31,10549,10549,,3.71
2017/8/1,10614,10614,,3.76
2017/8/2,10652,10652,,3.81
2017/8/3,10648,10648,,3.76
2017/8/4,10632,10632,,3.8
2017/8/7,10684,10684,,3.77
2017/8/8,10658,10658,,3.82
2017/8/9,10544,10544,,3.8
2017/8/10,10540,10540,,3.86
2017/8/14,10421,10421,,3.88
2017/8/15,10533,10533,,4.1
2017/8/16,10531,10531,,4.05
2017/8/17,10524,10524,,4.08
2017/8/18,10410,10410,,4.05
2017/8/21,10396,10396,,4.18
2017/8/22,10402,10402,,4.26
2017/8/23,10428,10428,,4.37
2017/8/24,10376,10376,,4.36
2017/8/25,10407,10407,,4.39
2017/8/28,10427,10427,,4.44
2017/8/29,10415,10415,,4.37
2017/8/30,10479,10479,,4.43
2017/8/31,10543,10543,,4.46
2017/9/1,10557,10557,,4.54
2017/9/4,10452,10452,,4.52
2017/9/5,10369,10369,,4.37
2017/9/6,10377,10377,,4.45
2017/9/7,10417,10417,,4.52
2017/9/8,10387,10387,,4.51
2017/9/11,10509,10509,,4.55
2017/9/12,10608,10608,,4.61
2017/9/13,10672,10672,,4.7
2017/9/14,10638,10638,,4.71
2017/9/15,10683,10683,,4.74
2017/9/19,10871,10871,,4.72
2017/9/20,10871,10871,,4.97
2017/9/21,10876,10876,,4.96
2017/9/22,10850,10850,,4.93
2017/9/25,10903,10903,,4.94
2017/9/26,10903,10903,,5.01
2017/9/27,10933,10933,,5.03
2017/9/28,11009,11009,,5.13
2017/9/29,10999,10999,,5.23
2017/10/2,10992,10992,,5.25
2017/10/3,11063,11063,,5.32
2017/10/4,11063,11063,,5.34
2017/10/5,11050,11050,,5.28
2017/10/6,11081,11081,,5.34
2017/10/10,11132,11132,,5.34
2017/10/11,11143,11143,,5.53
2017/10/12,11165,11165,,5.59
2017/10/13,11221,11221,,5.67
2017/10/16,11290,11290,,5.66
2017/10/17,11317,11317,,5.79
2017/10/18,11325,11325,,5.88
2017/10/19,11362,11362,,5.81
2017/10/20,11365,11365,,5.78
2017/10/23,11461,11461,,5.89
2017/10/24,11537,11537,,6.02
2017/10/25,11502,11502,,6.08
2017/10/26,11518,11518,,6.12
2017/10/27,11631,11631,,6.24
2017/10/30,11629,11629,,6.29
2017/10/31,11597,11597,,6.39
2017/11/1,11734,11734,,6.53
2017/11/2,11782,11782,,6.71
2017/11/6,11773,11773,,6.81
2017/11/7,11909,11909,,7.24
2017/11/8,11937,11937,,7.28
2017/11/9,11908,11908,,7.41
2017/11/10,11823,11823,,7.55
2017/11/13,11712,11712,,7.57
2017/11/14,11683,11683,,7.55
2017/11/15,11453,11453,,7.43
2017/11/16,11570,11570,,7.69
2017/11/17,11583,11583,,8.01
2017/11/20,11556,11556,,8.18
2017/11/21,11632,11632,,8.39
2017/11/22,11671,11671,,8.53
2017/11/24,11693,11693,,8.71
2017/11/27,11668,11668,,8.53
2017/11/28,11637,11637,,8.51
2017/11/29,11730,11730,,8.71
2017/11/30,11769,11769,,9.01
2017/12/1,11798,11798,,9.16
2017/12/4,11734,11734,,9.2
2017/12/5,11762,11762,,9.06
2017/12/6,11594,11594,,9.12
2017/12/7,11731,11731,,9.33
2017/12/8,11845,11845,,9.4
2017/12/11,11908,11908,,9.56
2017/12/12,11920,11920,,9.71
2017/12/13,11892,11892,,9.75
2017/12/14,11873,11873,,9.76
2017/12/15,11777,11777,,9.43
2017/12/18,11938,11938,,9.71
2017/12/19,11919,11919,,10.13
2017/12/20,11959,11959,,10.11
2017/12/21,11968,11968,,9.97
2017/12/22,12011,12011,,10.02
2017/12/25,12029,12029,,10.1
2017/12/26,11997,11997,,10.32
2017/12/27,12030,12030,,10.55
2017/12/28,11959,11959,,10.63
2017/12/29,11949,11949,,10.77
2018/1/4,12253,12253,,10.83
2018/1/5,12361,12361,,11.41
2018/1/9,12420,12420,,11.9
2018/1/10,12439,12439,,12.78
2018/1/11,12412,12412,,12.87
2018/1/12,12334,12334,,12.91
2018/1/15,12384,12384,,13.16
2018/1/16,12452,12452,,13.43
2018/1/17,12429,12429,,13.58
2018/1/18,12338,12338,,13.29
2018/1/19,12422,12422,,13.61
2018/1/22,12437,12437,,13.63
2018/1/23,12562,12562,,14.08
2018/1/24,12498,12498,,14.25
2018/1/25,12388,12388,,14.24
2018/1/26,12354,12354,,14.16
2018/1/29,12362,12362,,14.49
2018/1/30,12214,12214,,14.49
2018/1/31,12074,12074,,14.54
2018/2/1,12295,12295,,15.02
2018/2/2,12254,12254,,15.03
2018/2/5,11988,11988,,14.84
2018/2/6,11460,11460,,14.5
2018/2/7,11503,11503,,15.02
2018/2/8,11607,11607,,15.39
2018/2/9,11384,11384,,15.28
2018/2/13,11284,11284,,15.39
2018/2/14,11192,11192,,15.57
2018/2/15,11301,11301,,15.86
2018/2/16,11421,11421,,16.22
2018/2/19,11669,11669,,16.85
2018/2/20,11585,11585,,17.17
2018/2/21,11580,11580,,17.36
2018/2/22,11478,11478,,17.31
2018/2/23,11573,11573,,17.57
2018/2/26,11669,11669,,17.75
2018/2/27,11771,11771,,17.96
2018/2/28,11626,11626,,17.8
2018/3/1,11441,11441,,17.68
2018/3/2,11232,11232,,17.57
2018/3/5,11143,11143,,17.5
2018/3/6,11284,11284,,17.79
2018/3/7,11203,11203,,17.83
2018/3/8,11242,11242,,17.98
2018/3/9,11279,11279,,18.2
2018/3/12,11448,11448,,18.58
2018/3/13,11512,11512,,18.99
2018/3/14,11461,11461,,18.99
2018/3/15,11463,11463,,19
2018/3/16,11417,11417,,19.15
2018/3/19,11308,11308,,19.12
2018/3/20,11283,11283,,19.11
2018/3/22,11356,11356,,19.43
2018/3/23,10946,10946,,18.62
2018/3/26,10987,10987,,18.79
2018/3/27,11288,11288,,19.34
2018/3/28,11277,11277,,19.43
2018/3/29,11306,11306,,19.6
2018/3/30,11387,11387,,19.79
2018/4/2,11338,11338,,19.71
2018/4/3,11304,11304,,19.86
2018/4/4,11320,11320,,19.97
2018/4/5,11442,11442,,20.26
2018/4/6,11407,11407,,20.3
2018/4/9,11451,11451,,20.41
2018/4/10,11491,11491,,20.72
2018/4/11,11446,11446,,20.74
2018/4/12,11402,11402,,20.75
2018/4/13,11474,11474,,21.03
2018/4/16,11518,11518,,21.14
