基準日,基準価額（円）,前日比,純資産総額,直近決算日,直近分配金,分配金再投資基準価額
20180131,10000,0,500000000,0,0,10000
20180201,10007,7,500339146,0,0,10007
20180202,9921,-86,496032935,0,0,9921
20180205,9752,-169,487610075,0,0,9752
20180206,9263,-489,463174282,0,0,9263
20180207,9553,290,477650053,0,0,9553
20180208,9519,-34,475941720,0,0,9519
20180209,9185,-334,459248422,0,0,9185
20180213,9470,285,473495534,0,0,9470
20180214,9562,92,478080987,0,0,9562
20180215,9714,152,485713295,0,0,9714
20180216,9871,157,493545242,0,0,9871
20180219,9784,-87,489218438,0,0,9784
20180220,9830,46,491505861,0,0,9830
20180221,9942,112,497089937,0,0,9942
20180222,9969,27,498448576,0,0,9969
20180223,9915,-54,495790756,0,0,9915
20180226,10081,166,505519412,0,0,10081
20180227,10191,110,593554089,0,0,10191
20180228,10083,-108,616446012,0,0,10083
20180301,9975,-108,633867756,0,0,9975
20180302,9775,-200,652203817,0,0,9775
20180305,9824,49,662278617,0,0,9824
20180306,10064,240,679678278,0,0,10064
20180307,10107,43,686965579,0,0,10107
20180308,10223,116,695897036,0,0,10223
20180309,10234,11,699153081,0,0,10234
20180312,10464,230,718681196,0,0,10464
20180313,10474,10,727839406,0,0,10474
20180314,10322,-152,771125739,0,0,10322
20180315,10359,37,792831698,0,0,10359
20180316,10390,31,815704053,0,0,10390
20180319,10316,-74,815136718,0,0,10316
20180320,10042,-274,801141249,0,0,10042
20180322,9950,-92,799362019,0,0,9950
20180323,9554,-396,770421764,0,0,9554
20180326,9327,-227,742185760,0,0,9327
20180327,9706,379,712650170,0,0,9706
20180328,9166,-540,672777268,0,0,9166
20180329,9072,-94,667327739,0,0,9072
20180330,9241,169,679908700,0,0,9241
20180402,9246,5,740809789,0,0,9246
20180403,8903,-343,713376524,0,0,8903
20180404,9043,140,729526618,0,0,9043
20180405,9211,168,745753529,0,0,9211
20180406,9377,166,760801006,0,0,9377
20180409,9124,-253,741292383,0,0,9124
20180410,9144,20,745113494,0,0,9144
20180411,9499,355,777691959,0,0,9499
20180412,9446,-53,774782235,0,0,9446
20180413,9544,98,784862949,0,0,9544
20180416,9522,-22,784670255,0,0,9522
20180417,9485,-37,732981113,0,0,9485
20180418,9844,359,751489224,0,0,9844
20180419,9895,51,755882986,0,0,9895
20180420,9878,-17,754844628,0,0,9878
20180423,9759,-119,752205854,0,0,9759
20180424,9715,-44,751824742,0,0,9715
20180425,9505,-210,736122221,0,0,9505
20180426,9493,-12,732334893,0,0,9493
20180427,9773,280,753276292,0,0,9773
20180501,9862,89,759571492,0,0,9862
20180502,10019,157,772398269,0,0,10019
20180507,10163,144,784047562,0,0,10163
20180508,10333,170,807605086,0,0,10333
20180509,10436,103,818007627,0,0,10436
20180510,10624,188,840047024,0,0,10624
20180511,10683,59,851357298,0,0,10683
20180514,10611,-72,851462837,0,0,10611
20180515,10678,67,869693504,0,0,10678
20180516,10572,-106,872447979,0,0,10572
20180517,10656,84,888687029,0,0,10656
20180518,10661,5,887669525,0,0,10661
20180521,10501,-160,874241422,0,0,10501
20180522,10566,65,883130690,0,0,10566
20180523,10469,-97,874005871,0,0,10469
20180524,10504,35,876599132,0,0,10504
20180525,10504,0,874615185,0,0,10504
20180528,10541,37,877536060,0,0,10541
20180529,10514,-27,874654095,0,0,10514
20180530,10426,-88,867332975,0,0,10426
20180531,10543,117,864840869,0,0,10543
20180601,10591,48,866476453,0,0,10591
20180604,10922,331,894224966,0,0,10922
20180605,11149,227,903121034,0,0,11149
20180606,11210,61,926647886,0,0,11210
20180607,11354,144,945822498,0,0,11354
20180608,11215,-139,946333618,0,0,11215
20180611,11198,-17,957106546,0,0,11198
20180612,11382,184,974214994,0,0,11382
20180613,11533,151,989098036,0,0,11533
20180614,11574,41,1057007238,0,0,11574
20180615,11852,278,1089260707,0,0,11852
20180618,11776,-76,1101987099,0,0,11776
20180619,11791,15,1129052710,0,0,11791
20180620,11664,-127,1155924563,0,0,11664
20180621,11860,196,1137747656,0,0,11860
20180622,11655,-205,1160123106,0,0,11655
20180625,11539,-116,1192806874,0,0,11539
20180626,11162,-377,1178614406,0,0,11162
20180627,11326,164,1208013830,0,0,11326
20180628,11143,-183,1168722463,0,0,11143
20180629,11337,194,1185967647,0,0,11337
20180702,11278,-59,1173782324,0,0,11278
20180703,11404,126,1208767222,0,0,11404
20180704,11102,-302,1197740852,0,0,11102
20180705,11108,6,1196286390,0,0,11108
20180706,11288,180,1215681334,0,0,11288
20180709,11480,192,1252991468,0,0,11480
20180710,11651,171,1284089179,0,0,11651
20180711,11638,-13,1315649722,0,0,11638
20180712,11705,67,1332408369,0,0,11705
20180713,11963,258,1376398825,0,0,11963
20180717,11823,-140,1368594868,0,0,11823
20180718,11976,153,1420429718,0,0,11976
20180719,11870,-106,1439838058,0,0,11870
20180720,11729,-141,1445820446,0,0,11729
20180723,11517,-212,1449213795,0,0,11517
20180724,11523,6,1454891063,0,0,11523
20180725,11549,26,1466492911,0,0,11549
20180726,11759,210,1482395166,0,0,11759
20180727,11461,-298,1445984504,0,0,11461
20180730,11059,-402,1405364311,0,0,11059
20180731,10738,-321,1373668783,0,0,10738
20180801,10871,133,1379561486,0,0,10871
20180802,10870,-1,1372524044,0,0,10870
20180803,11195,325,1476425568,0,0,11195
20180806,11128,-67,1467303538,0,0,11128
20180807,11220,92,1483357883,0,0,11220
20180808,11351,131,1507708346,0,0,11351
20180809,11236,-115,1501641597,0,0,11236
20180810,11176,-60,1502143703,0,0,11176
20180813,11107,-69,1512111339,0,0,11107
20180814,11129,22,1515893668,0,0,11129
20180815,11188,59,1522166459,0,0,11188
20180816,10929,-259,1486342768,0,0,10929
20180817,10951,22,1473141965,0,0,10951
20180820,10783,-168,1451183638,0,0,10783
20180821,10776,-7,1453429992,0,0,10776
