基準日,基準価額（円）,純資産額（億円）,分配金
2015/12/18,"10,000","0.01","-"
2015/12/21,"10,000","0.00","-"
2015/12/22,"10,029","1.29","-"
2015/12/24,"10,231","2.51","-"
2015/12/25,"10,170","2.96","-"
2015/12/28,"10,204","3.74","-"
2015/12/29,"10,172","3.73","-"
2015/12/30,"10,286","3.77","-"
2016/01/04,"10,104","4.48","-"
2016/01/05,"9,823","4.55","-"
2016/01/06,"9,804","5.43","-"
2016/01/07,"9,648","5.80","-"
2016/01/08,"9,389","6.56","-"
2016/01/12,"9,249","6.98","-"
2016/01/13,"9,323","7.65","-"
2016/01/14,"9,152","8.62","-"
2016/01/15,"9,260","9.49","-"
2016/01/18,"8,966","9.75","-"
2016/01/19,"8,988","10.38","-"
2016/01/20,"9,028","10.43","-"
2016/01/21,"8,851","10.72","-"
2016/01/22,"8,961","11.29","-"
2016/01/25,"9,225","12.14","-"
2016/01/26,"9,081","12.35","-"
2016/01/27,"9,210","13.12","-"
2016/01/28,"9,191","13.30","-"
2016/01/29,"9,374","13.91","-"
2016/02/01,"9,595","14.85","-"
2016/02/02,"9,580","15.02","-"
2016/02/03,"9,302","15.64","-"
2016/02/04,"9,190","15.68","-"
2016/02/05,"9,174","15.84","-"
2016/02/08,"9,023","15.89","-"
2016/02/09,"8,727","15.75","-"
2016/02/10,"8,643","16.25","-"
2016/02/12,"8,361","15.97","-"
2016/02/15,"8,594","16.94","-"
2016/02/16,"8,756","17.78","-"
2016/02/17,"8,815","17.90","-"
2016/02/18,"8,959","19.22","-"
2016/02/19,"8,855","19.25","-"
2016/02/22,"8,825","19.55","-"
2016/02/23,"8,927","20.05","-"
2016/02/24,"8,754","20.02","-"
2016/02/25,"8,739","20.08","-"
2016/02/26,"8,932","20.97","-"
2016/02/29,"8,982","21.37","-"
2016/03/01,"8,850","21.17","-"
2016/03/02,"9,157","22.22","-"
2016/03/03,"9,185","22.50","-"
2016/03/04,"9,225","22.86","-"
2016/03/07,"9,289","23.20","-"
2016/03/08,"9,248","23.16","-"
2016/03/09,"9,102","23.19","-"
2016/03/10,"9,216","23.65","-"
2016/03/11,"9,210","23.83","-"
2016/03/14,"9,436","24.60","-"
2016/03/15,"9,429","24.66","-"
2016/03/16,"9,331","24.58","-"
