基準日,基準価額（円）,純資産額（億円）,分配金
2015/12/07,"10,000","0.01","-"
2015/12/08,"9,890","0.13","-"
2015/12/09,"9,794","0.40","-"
2015/12/10,"9,663","0.66","-"
2015/12/11,"9,757","0.97","-"
2015/12/14,"9,580","1.07","-"
2015/12/15,"9,421","1.74","-"
2015/12/16,"9,673","2.14","-"
2015/12/17,"9,821","2.11","-"
2015/12/18,"9,632","1.98","-"
2015/12/21,"9,592","2.23","-"
2015/12/22,"9,584","2.68","-"
2015/12/24,"9,541","2.70","-"
2015/12/25,"9,520","2.87","-"
2015/12/28,"9,594","3.18","-"
2015/12/29,"9,644","3.15","-"
2015/12/30,"9,670","3.14","-"
2016/01/04,"9,369","2.98","-"
2016/01/05,"9,337","3.61","-"
2016/01/06,"9,244","3.70","-"
2016/01/07,"9,021","4.31","-"
2016/01/08,"8,995","4.57","-"
2016/01/12,"8,740","4.78","-"
2016/01/13,"9,003","5.52","-"
2016/01/14,"8,772","5.58","-"
2016/01/15,"8,716","5.97","-"
2016/01/18,"8,608","6.03","-"
2016/01/19,"8,667","6.35","-"
2016/01/20,"8,333","6.19","-"
2016/01/21,"8,142","6.30","-"
2016/01/22,"8,609","6.84","-"
2016/01/25,"8,706","7.03","-"
2016/01/26,"8,487","6.96","-"
2016/01/27,"8,725","7.45","-"
2016/01/28,"8,664","7.43","-"
2016/01/29,"8,914","7.67","-"
2016/02/01,"9,081","7.87","-"
2016/02/02,"9,024","7.85","-"
2016/02/03,"8,735","7.94","-"
2016/02/04,"8,665","8.06","-"
2016/02/05,"8,540","7.95","-"
2016/02/08,"8,642","8.13","-"
2016/02/09,"8,175","7.72","-"
2016/02/10,"7,985","7.83","-"
2016/02/12,"7,589","7.70","-"
2016/02/15,"8,137","8.63","-"
2016/02/16,"8,159","8.73","-"
2016/02/17,"8,041","8.66","-"
2016/02/18,"8,238","8.94","-"
2016/02/19,"8,118","8.78","-"
2016/02/22,"8,186","8.95","-"
2016/02/23,"8,164","8.97","-"
2016/02/24,"8,085","8.90","-"
2016/02/25,"8,207","9.15","-"
2016/02/26,"8,236","9.22","-"
2016/02/29,"8,147","9.09","-"
2016/03/01,"8,181","9.18","-"
2016/03/02,"8,516","9.60","-"
2016/03/03,"8,626","9.65","-"
2016/03/04,"8,651","9.69","-"
2016/03/07,"8,601","9.70","-"
2016/03/08,"8,536","9.78","-"
2016/03/09,"8,463","9.75","-"
2016/03/10,"8,569","9.99","-"
2016/03/11,"8,615","10.00","-"
2016/03/14,"8,763","10.17","-"
2016/03/15,"8,701","9.72","-"
2016/03/16,"8,628","9.70","-"
2016/03/17,"8,613","9.80","-"
2016/03/18,"8,496","9.72","-"
2016/03/22,"8,668","10.03","-"
2016/03/23,"8,638","9.93","-"
2016/03/24,"8,585","9.87","-"
2016/03/25,"8,645","9.98","-"
2016/03/28,"8,709","10.05","-"
2016/03/29,"8,762","9.99","-"
2016/03/30,"8,649","9.91","-"
2016/03/31,"8,585","9.89","-"
2016/04/01,"8,282","9.63","-"
2016/04/04,"8,257","9.98","-"
2016/04/05,"8,060","9.84","-"
2016/04/06,"8,053","10.07","-"
2016/04/07,"8,069","10.18","-"
2016/04/08,"8,107","10.33","-"
2016/04/11,"8,070","10.37","-"
2016/04/12,"8,161","10.57","-"
2016/04/13,"8,394","10.99","-"
2016/04/14,"8,663","11.22","-"
2016/04/15,"8,626","10.90","-"
2016/04/18,"8,342","10.56","-"
2016/04/19,"8,645","11.01","-"
2016/04/20,"8,659","10.94","-"
2016/04/21,"8,898","11.05","-"
2016/04/22,"9,002","10.87","-"
2016/04/25,"8,936","10.68","-"
2016/04/26,"8,885","10.64","-"
2016/04/27,"8,856","10.62","-"
2016/04/28,"8,531","10.24","-"
2016/05/02,"8,274","10.09","-"
2016/05/06,"8,252","10.62","-"
2016/05/09,"8,310","11.14","-"
2016/05/10,"8,489","11.45","-"
2016/05/11,"8,496","11.23","-"
2016/05/12,"8,535","11.24","-"
2016/05/13,"8,407","11.12","-"
2016/05/16,"8,443","11.21","-"
2016/05/17,"8,537","11.44","-"
2016/05/18,"8,527","11.35","-"
2016/05/19,"8,531","11.31","-"
2016/05/20,"8,577","11.34","-"
2016/05/23,"8,535","11.29","-"
2016/05/24,"8,455","11.28","-"
2016/05/25,"8,588","11.50","-"
2016/05/26,"8,596","11.38","-"
2016/05/27,"8,626","11.33","-"
2016/05/30,"8,747","11.45","-"
2016/05/31,"8,832","11.53","-"
2016/06/01,"8,690","11.39","-"
2016/06/02,"8,490","11.18","-"
2016/06/03,"8,530","11.36","-"
2016/06/06,"8,495","11.33","-"
2016/06/07,"8,548","11.63","-"
2016/06/08,"8,626","11.72","-"
2016/06/09,"8,540","11.55","-"
2016/06/10,"8,506","11.61","-"
2016/06/13,"8,210","11.32","-"
2016/06/14,"8,126","11.26","-"
2016/06/15,"8,161","11.18","-"
2016/06/16,"7,909","10.92","-"
2016/06/17,"7,994","11.04","-"
2016/06/20,"8,182","11.39","-"
2016/06/21,"8,289","11.47","-"
2016/06/22,"8,231","11.42","-"
2016/06/23,"8,320","11.59","-"
2016/06/24,"7,667","10.65","-"
2016/06/27,"7,851","11.26","-"
2016/06/28,"7,863","11.41","-"
2016/06/29,"7,989","11.71","-"
2016/06/30,"7,993","11.56","-"
2016/07/01,"8,047","11.64","-"
2016/07/04,"8,095","11.71","-"
2016/07/05,"8,036","11.63","-"
2016/07/06,"7,885","11.49","-"
2016/07/07,"7,839","11.69","-"
2016/07/08,"7,755","11.70","-"
2016/07/11,"8,060","12.37","-"
2016/07/12,"8,263","12.53","-"
2016/07/13,"8,328","12.49","-"
2016/07/14,"8,408","12.46","-"
2016/07/15,"8,470","12.54","-"
2016/07/19,"8,580","12.58","-"
2016/07/20,"8,559","12.41","-"
2016/07/21,"8,624","12.52","-"
2016/07/22,"8,531","12.33","-"
2016/07/25,"8,526","12.33","-"
2016/07/26,"8,402","12.17","-"
2016/07/27,"8,553","12.38","-"
2016/07/28,"8,449","12.01","-"
2016/07/29,"8,503","12.20","-"
2016/08/01,"8,531","12.24","-"
2016/08/02,"8,405","12.10","-"
2016/08/03,"8,247","11.91","-"
2016/08/04,"8,335","12.19","-"
2016/08/05,"8,336","12.09","-"
2016/08/08,"8,539","12.41","-"
2016/08/09,"8,598","12.49","-"
2016/08/10,"8,587","12.32","-"
2016/08/12,"8,679","12.42","-"
2016/08/15,"8,653","12.35","-"
2016/08/16,"8,513","12.20","-"
2016/08/17,"8,590","12.45","-"
2016/08/18,"8,458","12.26","-"
2016/08/19,"8,485","12.72","-"
2016/08/22,"8,511","12.76","-"
2016/08/23,"8,463","12.73","-"
2016/08/24,"8,508","12.89","-"
2016/08/25,"8,489","12.54","-"
2016/08/26,"8,392","12.45","-"
2016/08/29,"8,586","12.96","-"
2016/08/30,"8,581","12.69","-"
2016/08/31,"8,663","12.80","-"
2016/09/01,"8,684","12.75","-"
2016/09/02,"8,683","12.83","-"
2016/09/05,"8,738","13.24","-"
2016/09/06,"8,761","13.28","-"
2016/09/07,"8,724","13.10","-"
2016/09/08,"8,698","13.15","-"
2016/09/09,"8,703","13.18","-"
2016/09/12,"8,552","12.95","-"
2016/09/13,"8,581","13.27","-"
2016/09/14,"8,521","13.19","-"
2016/09/15,"8,414","13.06","-"
2016/09/16,"8,470","13.36","-"
2016/09/20,"8,456","13.25","-"
2016/09/21,"8,625","13.61","-"
2016/09/23,"8,589","13.42","-"
2016/09/26,"8,484","13.21","-"
2016/09/27,"8,556","13.46","-"
2016/09/28,"8,504","13.38","-"
2016/09/29,"8,623","13.69","-"
2016/09/30,"8,495","13.29","-"
2016/10/03,"8,571","13.59","-"
2016/10/04,"8,641","13.95","-"
2016/10/05,"8,685","13.96","-"
2016/10/06,"8,726","13.90","-"
2016/10/07,"8,708","13.36","-"
2016/10/11,"8,789","13.41","-"
2016/10/12,"8,698","13.21","0"
2016/10/13,"8,662","13.24","-"
2016/10/14,"8,703","13.28","-"
2016/10/17,"8,724","13.23","-"
2016/10/18,"8,757","13.29","-"
2016/10/19,"8,776","13.33","-"
2016/10/20,"8,895","13.52","-"
2016/10/21,"8,874","13.32","-"
2016/10/24,"8,898","13.33","-"
2016/10/25,"8,966","13.47","-"
2016/10/26,"8,977","13.39","-"
2016/10/27,"8,951","13.46","-"
2016/10/28,"9,007","13.55","-"
2016/10/31,"8,996","13.33","-"
2016/11/01,"9,005","13.90","-"
2016/11/02,"8,845","13.57","-"
